Point	Row	Column	a_Ang
1	1	1	4.0807376
2	1	2	4.0805435
3	1	3	4.0797319
4	1	4	4.0787263
5	1	5	4.0810204
6	1	6	4.0823984
7	1	7	4.0823855
8	1	8	4.0803785
9	1	9	4.0773196
10	1	10	4.0741162
11	1	11	4.0728989
12	2	1	4.0866885
13	2	2	4.0879855
14	2	3	4.0867891
15	2	4	4.0868883
16	2	5	4.0874734
17	2	6	4.0887508
18	2	7	4.0902891
19	2	8	4.0918989
20	2	9	4.0932388
21	2	10	4.0951056
22	2	11	4.0912051
23	3	1	4.0857654
24	3	2	4.0886998
25	3	3	4.0875959
26	3	4	4.0871162
27	3	5	4.0890522
28	3	6	4.0913868
29	3	7	4.0933957
30	3	8	4.09621
31	3	9	4.0984674
32	3	10	4.1000133
33	3	11	4.1019459
34	4	1	4.0829353
35	4	2	4.0830865
36	4	3	4.0834017
37	4	4	4.0845146
38	4	5	4.0847845
39	4	6	4.0839524
40	4	7	4.0857215
41	4	8	4.0914569
42	4	9	4.0925713
43	4	10	4.0909414
44	4	11	4.0900474
