Point	Row	Column	MaxInt_111
1	1	1	1008.7735
2	1	2	1100.2418
3	1	3	1207.6298
4	1	4	1271.6179
5	1	5	1075.184
6	1	6	939.31006
7	1	7	763.89459
8	1	8	614.80438
9	1	9	547.39709
10	1	10	506.94907
11	1	11	495.86295
12	2	1	1421.3365
13	2	2	1702.2399
14	2	3	2096.5723
15	2	4	2164.8896
16	2	5	2195.2283
17	2	6	2042.1678
18	2	7	1936.8348
19	2	8	1668.6827
20	2	9	1247.6329
21	2	10	881.24664
22	2	11	671.50568
23	3	1	1033.2167
24	3	2	1296.0063
25	3	3	1529.6267
26	3	4	1787.6781
27	3	5	1986.333
28	3	6	2045.4792
29	3	7	1915.2133
30	3	8	1737.9121
31	3	9	1489.0178
32	3	10	1109.6637
33	3	11	813.93018
34	4	1	723.13513
35	4	2	880.33417
36	4	3	1005.3258
37	4	4	1108.2755
38	4	5	1100.8698
39	4	6	997.28802
40	4	7	935.47601
41	4	8	940.20959
42	4	9	892.66589
43	4	10	739.7851
44	4	11	691.1842
