FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.84261Co0.5293Fe0.37907Y0.0Zr0.09163O3,01252,11,1,11,4.0728989,0.1119,0.54451549,0.51317877,1934.0618,495.86295,10.717941999999999,31.014877000000002,38.181847,45.37999,44.141998,0.8900051291484271,2.1500123906394584,1.4900085870012991,137.32779142760228,1.81065,1.3872795,0.8086378083333334,60.7213593835,0.8426051439923045,0.49153902142789996,1.549804773039217,1.8426155339834096,2.2616060118199326,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.87029Co0.2922Fe0.54572Y0.0Zr0.16208O3,01252,12,2,1,4.0866885,0.21950999999999998,0.59227407,0.43658388,2715.1062,1421.3365,8.3762035,30.907606,38.094372,5.4000001,31.643998999999997,0.889995923598047,2.1499901525121357,1.489993175461899,137.32637101117865,1.7635699999999999,1.4097019999999998,0.8291221,62.481598899000005,0.870293986143938,0.5046558535232778,1.525138045141552,1.7970732844558106,2.197869027538226,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.86756Co0.30224Fe0.53396Y0.0Zr0.16379O3,01252,13,2,2,4.0879855,0.23583999,0.59253836,0.41085455,2835.4758,1702.2399,8.292409900000001,30.897555999999998,38.085369,9.397999800000001,31.643998999999997,0.8899953028243153,2.1499886528901997,1.4899921361890223,137.32627522579185,1.7631987,1.4094425000000002,0.8282813666666667,62.572544016799995,0.8675645787676902,0.5047617734883285,1.52541778248506,1.7988961193046544,2.194673037249714,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.8634Co0.31646Fe0.51706Y0.0Zr0.16648O3,01252,14,2,3,4.086789100000001,0.24848001,0.57832569,0.37343371,2959.2427,2096.5723,7.886368300000001,30.906826000000002,38.081936,13.39599,31.643998999999997,0.8900019320178312,2.1500046672340862,1.4900032345017622,137.32729811035134,1.762583,1.4091489999999998,0.8271132166666667,62.7121861097,0.8633981257296918,0.5049418563652498,1.5257468636986484,1.8014501575813235,2.189802439196267,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.87193Co0.33677Fe0.50213Y0.0Zr0.1611O3,01252,15,2,4,4.0868883,0.25481001,0.57905841,0.38692603,2870.7358,2164.8896,7.7417926999999995,30.906055,38.09367,17.39397,31.643998999999997,0.8900000110346039,2.1500000266566275,1.4900000184736628,137.3270017026394,1.7662885000000002,1.4073265,0.8253634416666666,62.58456833015,0.8719299891894359,0.5038814503036191,1.5277194216527774,1.8052653452458316,2.1942629847377626,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.87015Co0.36335Fe0.48257Y0.0Zr0.15408O3,01252,16,2,5,4.0874733999999995,0.25400999,0.59063447,0.37527794,2853.8884,2195.2283,7.630562299999999,30.901524,38.075542,21.391991,31.643998999999997,0.8899981412881661,2.1499955098534347,1.4899968882240084,137.32671320076403,1.7711275,1.4049444999999998,0.8230736416666667,62.41829197324999,0.8701518172600899,0.5025037109345127,1.530306364310786,1.8102838103366652,2.200103669283626,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.87112Co0.3894Fe0.461Y0.0Zr0.1496O3,01252,17,2,6,4.088750800000001,0.24767999,0.59001529,0.39270541,2719.4048,2042.1678,7.6304307,30.89163,38.069004,25.389971,31.643998999999997,0.8900032395901855,2.1500078259762905,1.490005423583569,137.3274998687656,1.7746700000000002,1.40297,0.8208475000000001,62.340241533000004,0.8711168291443483,0.5015035130983142,1.5324688524888561,1.815203705418569,2.2028708341797305,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.87528Co0.41995Fe0.43679Y0.0Zr0.14326O3,01252,18,2,7,4.090289100000001,0.23743001,0.58926713,0.37663072,2641.6406,1936.8348,7.520427199999999,30.879719,38.050133,29.387990999999996,31.643998999999997,0.8900005264294532,2.1500012717116,1.4900008813257135,137.3270812280646,1.7793675,1.4004915,0.8182286583333334,62.21028303025,0.8752794822776413,0.5001780275459977,1.5351762375648834,1.821007937268693,2.2074659451603647,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.87211Co0.45031Fe0.41087Y0.0Zr0.13882O3,01252,19,2,8,4.0918989,0.22363000000000002,0.58145714,0.40161699,2556.9924,1668.6827,7.6312447,30.86727,38.032921,33.385979,31.643998999999997,0.8900030016426527,2.150007251159217,1.490005025221969,137.3274631534613,1.7831055,1.3983075,0.8156400583333334,62.14695787045,0.8721070587036572,0.49913087119222765,1.5375782874362163,1.8267923577302256,2.209721406472232,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.88291Co0.48186Fe0.38969Y0.0Zr0.12845O3,01252,20,2,9,4.0932388,0.20619,0.55678016,0.43725014,2624.8862,1247.6329,8.0860157,30.856913,38.031665999999994,37.383990999999995,31.643998999999997,0.8899959232971262,2.1499901517851923,1.48999317495811,137.32637096474656,1.789868,1.3951744999999998,0.812906825,61.8775101927,0.8829140442451927,0.4972410944813395,1.5410188129049038,1.8329199966528882,2.2193260610694003,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
