Point	Row	Column	Y_at
1	1	1	0.046584401
2	1	2	0.049835999
3	1	3	0.052918699
4	1	4	0.058690701
5	1	5	0.060522705
6	1	6	0.069859199
7	1	7	0.074593797
8	1	8	0.078401402
9	1	9	0.0866502
10	1	10	0.089587897
11	1	11	0.095203601
12	2	1	0.043932602
13	2	2	0.046783697
14	2	3	0.053007595
15	2	4	0.0583122
16	2	5	0.064827293
17	2	6	0.070165999
18	2	7	0.079158306
19	2	8	0.084349088
20	2	9	0.091688603
21	2	10	0.095361821
22	2	11	0.10051772
23	3	1	0.042971902
24	3	2	0.0481885
25	3	3	0.053211093
26	3	4	0.060218904
27	3	5	0.064467199
28	3	6	0.074069105
29	3	7	0.077910207
30	3	8	0.0856167
31	3	9	0.092635401
32	3	10	0.095303498
33	3	11	0.097623497
34	4	1	0.045536101
35	4	2	0.052375101
36	4	3	0.054357398
37	4	4	0.058953401
38	4	5	0.0622936
39	4	6	0.070528194
40	4	7	0.074244291
41	4	8	0.080114007
42	4	9	0.086956501
43	4	10	0.086831696
44	4	11	0.094205789
