Point	Row	Column	FWHM_110
1	1	1	0.45709524
2	1	2	0.47023901
3	1	3	0.48143128
4	1	4	0.51194072
5	1	5	0.51713276
6	1	6	0.53053826
7	1	7	0.49402738
8	1	8	0.48611584
9	1	9	0.49538016
10	1	10	0.53289604
11	1	11	0.52288055
12	2	1	0.43283916
13	2	2	0.44355294
14	2	3	0.43075272
15	2	4	0.43106952
16	2	5	0.42831552
17	2	6	0.44205916
18	2	7	0.48431841
19	2	8	0.50713229
20	2	9	0.47293812
21	2	10	0.43264478
22	2	11	0.44974852
23	3	1	0.45125452
24	3	2	0.4455089
25	3	3	0.43626833
26	3	4	0.43722734
27	3	5	0.44566023
28	3	6	0.55410784
29	3	7	
30	3	8	
31	3	9	
32	3	10	0.96271354
33	3	11	0.48699459
34	4	1	0.47810635
35	4	2	0.50016701
36	4	3	0.50361985
37	4	4	0.47534877
38	4	5	0.47765499
39	4	6	0.47081938
40	4	7	0.43832701
41	4	8	0.44579464
42	4	9	0.44027063
43	4	10	0.48773307
44	4	11	0.54204637
