Point	Row	Column	PeakArea_110
1	1	1	15.971881
2	1	2	16.239174
3	1	3	15.218446
4	1	4	14.797661
5	1	5	14.090933
6	1	6	13.457172
7	1	7	13.629821
8	1	8	14.08413
9	1	9	12.9546
10	1	10	11.883479
11	1	11	12.095029
12	2	1	15.672147
13	2	2	15.662586
14	2	3	15.794798
15	2	4	15.409743
16	2	5	14.286097
17	2	6	13.336796
18	2	7	10.642332
19	2	8	8.0831556
20	2	9	9.8951054
21	2	10	12.813329
22	2	11	13.258216
23	3	1	15.318973
24	3	2	15.558572
25	3	3	15.429197
26	3	4	14.809934
27	3	5	13.056273
28	3	6	7.8532448
29	3	7	
30	3	8	
31	3	9	
32	3	10	3.325897
33	3	11	8.8038778
34	4	1	14.073902
35	4	2	13.788006
36	4	3	14.020383
37	4	4	14.147561
38	4	5	15.046482
39	4	6	15.177855
40	4	7	14.200819
41	4	8	12.281076
42	4	9	14.068546
43	4	10	13.700596
44	4	11	12.429761
