Point	Row	Column	Norm_d
1	1	1	0.33677509
2	1	2	0.40990099
3	1	3	0.47878361
4	1	4	0.51159829
5	1	5	0.50735503
6	1	6	0.48401698
7	1	7	0.43394625
8	1	8	0.35049504
9	1	9	0.27029702
10	1	10	0.16265912
11	1	11	0.050495051
12	2	1	0.6732673
13	2	2	0.79222065
14	2	3	0.89688826
15	2	4	0.95926452
16	2	5	1
17	2	6	0.97949082
18	2	7	0.93521923
19	2	8	0.84497881
20	2	9	0.73734087
21	2	10	0.61060822
22	2	11	0.462942
23	3	1	0.5043847
24	3	2	0.62984443
25	3	3	0.74695897
26	3	4	0.83154172
27	3	5	0.87949079
28	3	6	0.88288546
29	3	7	0.87468177
30	3	8	0.81753892
31	3	9	0.71371996
32	3	10	0.61230552
33	3	11	0.47524753
34	4	1	0
35	4	2	0.098585576
36	4	3	0.16902405
37	4	4	0.23748232
38	4	5	0.28811881
39	4	6	0.3115983
40	4	7	0.30480906
41	4	8	0.2807638
42	4	9	0.23960397
43	4	10	0.16463932
44	4	11	0.08316832
