Point	Row	Column	Frac_110
1	1	1	0.88910681
2	1	2	0.82888806
3	1	3	0.82746905
4	1	4	0.82230926
5	1	5	0.87806863
6	1	6	0.86317205
7	1	7	0.90249884
8	1	8	0.90443248
9	1	9	1
10	1	10	1
11	1	11	1
12	2	1	0.81722218
13	2	2	0.83331454
14	2	3	0.83280045
15	2	4	0.84418994
16	2	5	0.8829959
17	2	6	0.83865511
18	2	7	0.76075983
19	2	8	0.71766931
20	2	9	0.76233155
21	2	10	0.85921621
22	2	11	1
23	3	1	0.84032118
24	3	2	0.85093391
25	3	3	0.92607272
26	3	4	0.85904199
27	3	5	0.85698503
28	3	6	0.74625766
29	3	7	
30	3	8	
31	3	9	
32	3	10	1
33	3	11	0.78543872
34	4	1	1
35	4	2	0.8730303
36	4	3	0.86725873
37	4	4	0.88559246
38	4	5	0.89071035
39	4	6	0.90393108
40	4	7	1
41	4	8	0.87964636
42	4	9	1
43	4	10	1
44	4	11	0.84813261
