Point	Row	Column	Zr_at
1	1	1	0.47395891
2	1	2	0.47184569
3	1	3	0.469037
4	1	4	0.4633683
5	1	5	0.45874205
6	1	6	0.4509508
7	1	7	0.44239071
8	1	8	0.43333009
9	1	9	0.42696649
10	1	10	0.41940391
11	1	11	0.41087481
12	2	1	0.483955
13	2	2	0.48446685
14	2	3	0.47656465
15	2	4	0.47159061
16	2	5	0.46337235
17	2	6	0.4586719
18	2	7	0.44828093
19	2	8	0.44327086
20	2	9	0.4328934
21	2	10	0.42576137
22	2	11	0.41598588
23	3	1	0.48042929
24	3	2	0.4780938
25	3	3	0.47515714
26	3	4	0.46558174
27	3	5	0.4618822
28	3	6	0.45179856
29	3	7	0.44936416
30	3	8	0.43896121
31	3	9	0.43254229
32	3	10	0.42411369
33	3	11	0.4159824
34	4	1	0.46252379
35	4	2	0.45955989
36	4	3	0.45942551
37	4	4	0.4534995
38	4	5	0.44907311
39	4	6	0.44266036
40	4	7	0.43752664
41	4	8	0.42914003
42	4	9	0.4240635
43	4	10	0.42018899
44	4	11	0.40940365
