Point	Row	Column	MaxInt_110
1	1	1	3692.2505
2	1	2	3654.0964
3	1	3	3580.8352
4	1	4	3321.0811
5	1	5	3096.051
6	1	6	2939.1616
7	1	7	3124.4512
8	1	8	3041.5964
9	1	9	2728.8748
10	1	10	2222.238
11	1	11	2091.6792
12	2	1	4453.5605
13	2	2	4476.979
14	2	3	4679.7466
15	2	4	4730.8037
16	2	5	4457.0693
17	2	6	3837.1433
18	2	7	2725.3748
19	2	8	1888.2565
20	2	9	2434.6125
21	2	10	3308.8174
22	2	11	3260.9575
23	3	1	3819.8611
24	3	2	4073.2944
25	3	3	4350.5854
26	3	4	4270.8354
27	3	5	3654.7588
28	3	6	1819.144
29	3	7	
30	3	8	
31	3	9	
32	3	10	514.31335
33	3	11	1958.3025
34	4	1	2525.7795
35	4	2	2534.8369
36	4	3	2706.1157
37	4	4	3047.6511
38	4	5	3108.1187
39	4	6	3223.9944
40	4	7	3056.6196
41	4	8	2618.655
42	4	9	3006.5083
43	4	10	2607.1892
44	4	11	2181.0378
