Point	Row	Column	Fe_at
1	1	1	0.0097225998
2	1	2	0.0116515
3	1	3	0.0121312
4	1	4	0.0138323
5	1	5	0.014357202
6	1	6	0.015760699
7	1	7	0.017356301
8	1	8	0.020217899
9	1	9	0.022049399
10	1	10	0.0263707
11	1	11	0.036380999
12	2	1	0.0091362
13	2	2	0.010126799
14	2	3	0.011977699
15	2	4	0.0131016
16	2	5	0.014308099
17	2	6	0.016861901
18	2	7	0.018277902
19	2	8	0.019587899
20	2	9	0.0213222
21	2	10	0.024747204
22	2	11	0.033187408
23	3	1	0.0103645
24	3	2	0.0108513
25	3	3	0.012880798
26	3	4	0.013587302
27	3	5	0.0155912
28	3	6	0.018024001
29	3	7	0.019260902
30	3	8	0.0209316
31	3	9	0.0230073
32	3	10	0.0270018
33	3	11	0.035285201
34	4	1	0.0117716
35	4	2	0.012913
36	4	3	0.0135478
37	4	4	0.0154356
38	4	5	0.0164891
39	4	6	0.017745199
40	4	7	0.019307798
41	4	8	0.021881102
42	4	9	0.022662099
43	4	10	0.0284734
44	4	11	0.036968797
