FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Area of 110 peak,PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01299,11,1,11,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,12,2,1,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,13,2,2,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,14,2,3,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,15,2,4,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,16,2,5,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,17,2,6,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,18,2,7,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,19,2,8,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,20,2,9,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,21,2,10,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,22,2,11,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,23,3,1,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,24,3,2,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,25,3,3,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,26,3,4,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,27,3,5,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,28,3,6,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,29,3,7,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,30,3,8,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,31,3,9,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,32,3,10,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,33,3,11,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,34,4,1,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,35,4,2,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,36,4,3,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,37,4,4,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,38,4,5,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,39,4,6,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,40,4,7,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,41,4,8,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,42,4,9,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,43,4,10,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba1.0O3,01299,44,4,11,0,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,28_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.8,850,N,100.0,20,1.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
