Point	Row	Column	Zr_at
1	1	1	0.50473857
2	1	2	0.49952176
3	1	3	0.49711502
4	1	4	0.50053924
5	1	5	0.50414622
6	1	6	0.50122654
7	1	7	0.50219131
8	1	8	0.50071597
9	1	9	0.5010913
10	1	10	0.50420254
11	1	11	0.51584262
12	2	1	0.49776351
13	2	2	0.50166661
14	2	3	0.49898326
15	2	4	0.49523681
16	2	5	0.49718869
17	2	6	0.50080788
18	2	7	0.50092179
19	2	8	0.50020665
20	2	9	0.50052953
21	2	10	0.50090456
22	2	11	0.50277489
23	3	1	0.50002307
24	3	2	0.500269
25	3	3	0.49739444
26	3	4	0.49808827
27	3	5	0.49687374
28	3	6	0.49691671
29	3	7	0.49931586
30	3	8	0.49948528
31	3	9	0.50021172
32	3	10	0.49646896
33	3	11	0.50697148
34	4	1	0.50684482
35	4	2	0.5079788
36	4	3	0.49904287
37	4	4	0.50264603
38	4	5	0.50088108
39	4	6	0.49816558
40	4	7	0.49814898
41	4	8	0.50072926
42	4	9	0.50711626
43	4	10	0.50485283
44	4	11	0.50581962
