Point	Row	Column	Co_at
1	1	1	-0.0005958089
2	1	2	0.0012363353
3	1	3	0.0015923999
4	1	4	0.0020476584
5	1	5	0.0011967005
6	1	6	0.0017757731
7	1	7	0.0014200745
8	1	8	0.0012032525
9	1	9	0.0018962413
10	1	10	0.0010279465
11	1	11	0.0029343043
12	2	1	0.0010796826
13	2	2	0.00061458239
14	2	3	0.00033758409
15	2	4	0.0012922471
16	2	5	0.00025088649
17	2	6	0.0006346922
18	2	7	0.0010079384
19	2	8	0.0015091457
20	2	9	9.9117489e-05
21	2	10	0.0021758717
22	2	11	0.0023989342
23	3	1	0.00053455221
24	3	2	0.00059124065
25	3	3	0.00052782014
26	3	4	0.00042190359
27	3	5	0.00035768465
28	3	6	0.00051027798
29	3	7	0.0011040147
30	3	8	0.00034972266
31	3	9	0.0011651861
32	3	10	0.0013785581
33	3	11	0.0017115539
34	4	1	0.00059768412
35	4	2	0.00069972512
36	4	3	0.00039501605
37	4	4	0.0012402181
38	4	5	0.0012318809
39	4	6	-0.00033973739
40	4	7	0.0021985522
41	4	8	0.0017679117
42	4	9	0.00084661099
43	4	10	0.0027925819
44	4	11	0.0016689684
