Point	Row	Column	d_um
1	1	1	0.10753
2	1	2	0.11504
3	1	3	0.12105
4	1	4	0.12614
5	1	5	0.13056
6	1	6	0.13233
7	1	7	0.13156
8	1	8	0.12811001
9	1	9	0.12291
10	1	10	0.11588
11	1	11	0.11185
12	2	1	0.12353
13	2	2	0.13312
14	2	3	0.14298999
15	2	4	0.15025
16	2	5	0.15375
17	2	6	0.1576
18	2	7	0.15488
19	2	8	0.15188
20	2	9	0.14390001
21	2	10	0.13505
22	2	11	0.12654001
23	3	1	0.12096
24	3	2	0.13057999
25	3	3	0.14005999
26	3	4	0.14692999
27	3	5	0.15211
28	3	6	0.15328
29	3	7	0.15217
30	3	8	0.14865001
31	3	9	0.14125
32	3	10	0.13191
33	3	11	0.12481
34	4	1	0.10039
35	4	2	0.10782
36	4	3	0.11443
37	4	4	0.11935
38	4	5	0.1235
39	4	6	0.12541001
40	4	7	0.12355
41	4	8	0.11947
42	4	9	0.11643
43	4	10	0.10881
44	4	11	0.10161
