Point	Row	Column	_s_FWHM
1	1	1	0.24280338
2	1	2	0.23083881
3	1	3	0.2237194
4	1	4	0.21602719
5	1	5	0.20270219
6	1	6	0.1932586
7	1	7	0.189215
8	1	8	0.17548779
9	1	9	0.1673544
10	1	10	0.16668041
11	1	11	0.1575828
12	2	1	0.2448716
13	2	2	0.24311499
14	2	3	0.23061439
15	2	4	0.21547498
16	2	5	0.20943698
17	2	6	0.19755942
18	2	7	0.1957086
19	2	8	0.17908722
20	2	9	0.17355222
21	2	10	0.15936121
22	2	11	0.157985
23	3	1	0.2335228
24	3	2	0.22964637
25	3	3	0.22346702
26	3	4	0.2110174
27	3	5	0.19683202
28	3	6	0.1931812
29	3	7	0.1845092
30	3	8	0.17591499
31	3	9	0.17105079
32	3	10	0.15702978
33	3	11	0.1502016
34	4	1	0.21977779
35	4	2	0.208969
36	4	3	0.20558079
37	4	4	0.19688618
38	4	5	0.18212479
39	4	6	0.178211
40	4	7	0.1739472
41	4	8	0.16909802
42	4	9	0.1621048
43	4	10	0.1569486
44	4	11	0.14956041
