Point	Row	Column	d_um
1	1	1	0.12493001
2	1	2	0.13691001
3	1	3	0.1485
4	1	4	0.15834002
5	1	5	0.16831
6	1	6	0.17471001
7	1	7	0.17961
8	1	8	0.18062001
9	1	9	0.17908999
10	1	10	0.17410998
11	1	11	0.16687
12	2	1	0.14627001
13	2	2	0.16305
14	2	3	0.18024001
15	2	4	0.19658002
16	2	5	0.21072002
17	2	6	0.22328998
18	2	7	0.23287
19	2	8	0.23665997
20	2	9	0.23667997
21	2	10	0.23059997
22	2	11	0.22153001
23	3	1	0.1384
24	3	2	0.15493001
25	3	3	0.17194998
26	3	4	0.18853
27	3	5	0.20458998
28	3	6	0.21698999
29	3	7	0.22756
30	3	8	0.23410003
31	3	9	0.23641002
32	3	10	0.23187003
33	3	11	0.22491001
34	4	1	0.10689
35	4	2	0.11715
36	4	3	0.12925002
37	4	4	0.14084001
38	4	5	0.15148
39	4	6	0.1604
40	4	7	0.17008001
41	4	8	0.17519999
42	4	9	0.17763001
43	4	10	0.17809001
44	4	11	0.17434999
