Point	Row	Column	_s_Sigma
1	1	1	0.061989993
2	1	2	0.065331399
3	1	3	0.0551222
4	1	4	0.048043795
5	1	5	0.043976799
6	1	6	0.036997799
7	1	7	0.034199201
8	1	8	0.032408196
9	1	9	0.029988
10	1	10	0.024958802
11	1	11	0.018702401
12	2	1	0.063942
13	2	2	0.063977599
14	2	3	0.0563966
15	2	4	0.054592993
16	2	5	0.044034995
17	2	6	0.040542204
18	2	7	0.036945801
19	2	8	0.030155603
20	2	9	0.027474403
21	2	10	0.024995202
22	2	11	0.019546
23	3	1	0.062176201
24	3	2	0.059243396
25	3	3	0.053731605
26	3	4	0.050407
27	3	5	0.051291805
28	3	6	0.035872601
29	3	7	0.0319786
30	3	8	0.029425798
31	3	9	0.026477197
32	3	10	0.020718398
33	3	11	0.019747
34	4	1	0.0575394
35	4	2	0.050720599
36	4	3	0.048720393
37	4	4	0.048135396
38	4	5	0.040173601
39	4	6	0.031444199
40	4	7	0.0313772
41	4	8	0.029670402
42	4	9	0.022519199
43	4	10	0.0233646
44	4	11	0.019019799
