Point	Row	Column	PeakArea_110
1	1	1	10.784833
2	1	2	9.780715
3	1	3	9.9776516
4	1	4	9.8244047
5	1	5	9.5136137
6	1	6	9.5285597
7	1	7	9.2648382
8	1	8	9.2512808
9	1	9	9.2993317
10	1	10	8.7455139
11	1	11	8.8297443
12	2	1	10.952567
13	2	2	11.041307
14	2	3	10.871736
15	2	4	10.637887
16	2	5	10.960813
17	2	6	10.517627
18	2	7	10.254975
19	2	8	9.7623205
20	2	9	9.3995609
21	2	10	9.0430441
22	2	11	9.2428932
23	3	1	10.11111
24	3	2	10.362926
25	3	3	10.458107
26	3	4	10.398504
27	3	5	10.698854
28	3	6	10.269065
29	3	7	9.9140148
30	3	8	9.8673935
31	3	9	9.6669884
32	3	10	9.2041006
33	3	11	8.6815319
34	4	1	7.7212114
35	4	2	8.5585947
36	4	3	9.6573229
37	4	4	9.3947754
38	4	5	9.2849932
39	4	6	9.0270948
40	4	7	8.6868305
41	4	8	9.4251251
42	4	9	10.030526
43	4	10	9.5628672
44	4	11	8.4882355
