Point	Row	Column	Y_at
1	1	1	0.030994996
2	1	2	0.0326657
3	1	3	0.0275611
4	1	4	0.024021897
5	1	5	0.021988399
6	1	6	0.018498899
7	1	7	0.0170996
8	1	8	0.016204098
9	1	9	0.014994
10	1	10	0.012479401
11	1	11	0.0093512004
12	2	1	0.031971
13	2	2	0.0319888
14	2	3	0.0281983
15	2	4	0.027296497
16	2	5	0.022017498
17	2	6	0.020271102
18	2	7	0.018472901
19	2	8	0.015077801
20	2	9	0.013737202
21	2	10	0.012497601
22	2	11	0.0097730001
23	3	1	0.031088101
24	3	2	0.029621698
25	3	3	0.026865803
26	3	4	0.0252035
27	3	5	0.025645902
28	3	6	0.0179363
29	3	7	0.0159893
30	3	8	0.014712899
31	3	9	0.013238599
32	3	10	0.010359199
33	3	11	0.0098735001
34	4	1	0.0287697
35	4	2	0.025360299
36	4	3	0.024360197
37	4	4	0.024067698
38	4	5	0.020086801
39	4	6	0.0157221
40	4	7	0.0156886
41	4	8	0.014835201
42	4	9	0.0112596
43	4	10	0.0116823
44	4	11	0.0095098997
