Point	Row	Column	MaxInt_111
1	1	1	682.91797
2	1	2	739.18024
3	1	3	846.87402
4	1	4	923.005
5	1	5	975.12494
6	1	6	948.9942
7	1	7	973.36407
8	1	8	971.73566
9	1	9	916.9613
10	1	10	729.34198
11	1	11	785.65637
12	2	1	607.0224
13	2	2	884.00391
14	2	3	1046.4423
15	2	4	1181.8646
16	2	5	1252.4932
17	2	6	1377.0306
18	2	7	1225.459
19	2	8	1083.297
20	2	9	1032.7057
21	2	10	976.54926
22	2	11	929.61633
23	3	1	426.42947
24	3	2	532.10321
25	3	3	652.12842
26	3	4	762.09406
27	3	5	781.32605
28	3	6	740.84784
29	3	7	822.35114
30	3	8	871.86884
31	3	9	954.09094
32	3	10	807.90479
33	3	11	616.45801
34	4	1	344.5054
35	4	2	343.27917
36	4	3	411.17108
37	4	4	407.75562
38	4	5	454.71231
39	4	6	431.08676
40	4	7	445.94247
41	4	8	484.00858
42	4	9	503.0228
43	4	10	498.74918
44	4	11	425.65585
