Point	Row	Column	Co_at
1	1	1	0.35984826
2	1	2	0.36614051
3	1	3	0.37339109
4	1	4	0.38278255
5	1	5	0.38945609
6	1	6	0.39825121
7	1	7	0.4035373
8	1	8	0.41153386
9	1	9	0.4153316
10	1	10	0.41770014
11	1	11	0.41892231
12	2	1	0.362497
13	2	2	0.3682332
14	2	3	0.37784609
15	2	4	0.38597846
16	2	5	0.39566186
17	2	6	0.40140384
18	2	7	0.4060249
19	2	8	0.41659665
20	2	9	0.42033684
21	2	10	0.42635643
22	2	11	0.42611849
23	3	1	0.36728859
24	3	2	0.37344196
25	3	3	0.38213053
26	3	4	0.39148349
27	3	5	0.39895824
28	3	6	0.4069677
29	3	7	0.41432571
30	3	8	0.42106405
31	3	9	0.42289504
32	3	10	0.43043685
33	3	11	0.43025699
34	4	1	0.37267119
35	4	2	0.3824538
36	4	3	0.38645506
37	4	4	0.39372426
38	4	5	0.4027887
39	4	6	0.41110691
40	4	7	0.413894
41	4	8	0.41842926
42	4	9	0.4248856
43	4	10	0.42526299
44	4	11	0.4253113
