Point	Row	Column	_s_Position
1	1	1	0.49167448
2	1	2	0.49249846
3	1	3	0.49381226
4	1	4	0.49536192
5	1	5	0.49429032
6	1	6	0.49639988
7	1	7	0.49744189
8	1	8	0.49857044
9	1	9	0.4966861
10	1	10	0.49377948
11	1	11	0.48564801
12	2	1	0.49123719
13	2	2	0.49208313
14	2	3	0.49399564
15	2	4	0.49519125
16	2	5	0.49685133
17	2	6	0.49702692
18	2	7	0.49740607
19	2	8	0.49797699
20	2	9	0.49788567
21	2	10	0.49563116
22	2	11	0.48965687
23	3	1	0.4909896
24	3	2	0.49247524
25	3	3	0.49434519
26	3	4	0.49488172
27	3	5	0.49576038
28	3	6	0.49616328
29	3	7	0.49798894
30	3	8	0.49839815
31	3	9	0.49841118
32	3	10	0.4960897
33	3	11	0.48983616
34	4	1	0.49168518
35	4	2	0.49130738
36	4	3	0.49260536
37	4	4	0.49465498
38	4	5	0.49574775
39	4	6	0.49652991
40	4	7	0.49677315
41	4	8	0.49734467
42	4	9	0.49786773
43	4	10	0.49355423
44	4	11	0.48657364
