Point	Row	Column	110_s_Area
1	1	1	0.85266876
2	1	2	0.86143994
3	1	3	0.86385947
4	1	4	0.86206657
5	1	5	0.8677721
6	1	6	0.87845302
7	1	7	0.87694156
8	1	8	0.87960529
9	1	9	0.88508141
10	1	10	0.90611076
11	1	11	0.88690418
12	2	1	0.84789157
13	2	2	0.84019589
14	2	3	0.84236747
15	2	4	0.84515756
16	2	5	0.84723181
17	2	6	0.85314441
18	2	7	0.86021328
19	2	8	0.86739677
20	2	9	0.86598951
21	2	10	0.8844887
22	2	11	0.88593471
23	3	1	0.83359623
24	3	2	0.84048986
25	3	3	0.84539974
26	3	4	0.84297544
27	3	5	0.85427314
28	3	6	0.85171103
29	3	7	0.8602832
30	3	8	0.8628788
31	3	9	0.86306399
32	3	10	0.87884927
33	3	11	0.8990466
34	4	1	0.85585874
35	4	2	0.85616928
36	4	3	0.85825384
37	4	4	0.86292017
38	4	5	0.86234581
39	4	6	0.86620885
40	4	7	0.85702592
41	4	8	0.86201161
42	4	9	0.86648357
43	4	10	0.88185948
44	4	11	0.8914997
