Point	Row	Column	110_s_MaxIntensity
1	1	1	0.88637084
2	1	2	0.8977353
3	1	3	0.89770222
4	1	4	0.88627338
5	1	5	0.86405981
6	1	6	0.83221209
7	1	7	0.79229563
8	1	8	0.74613255
9	1	9	0.6956346
10	1	10	0.64265573
11	1	11	0.58887333
12	2	1	0.98675668
13	2	2	1
14	2	3	0.99996144
15	2	4	0.98664308
16	2	5	0.9607895
17	2	6	0.92379862
18	2	7	0.87756425
19	2	8	0.82427657
20	2	9	0.76621562
21	2	10	0.7055701
22	2	11	0.64429682
23	3	1	0.96682483
24	3	2	0.97968829
25	3	3	0.97965086
26	3	4	0.9667145
27	3	5	0.94159633
28	3	6	0.90564358
29	3	7	0.86068255
30	3	8	0.80882835
31	3	9	0.7522859
32	3	10	0.69317633
33	3	11	0.63340002
34	4	1	0.83636087
35	4	2	0.84682208
36	4	3	0.84678894
37	4	4	0.83627111
38	4	5	0.81580955
39	4	6	0.7864424
40	4	7	0.74958152
41	4	8	0.7068758
42	4	9	0.66006255
43	4	10	0.61083525
44	4	11	0.56073588
