Point	Row	Column	Fe_at
1	1	1	0.42633438
2	1	2	0.43071997
3	1	3	0.43192974
4	1	4	0.43103328
5	1	5	0.43388605
6	1	6	0.43922651
7	1	7	0.43847078
8	1	8	0.43980265
9	1	9	0.44254071
10	1	10	0.45305538
11	1	11	0.44345209
12	2	1	0.42394578
13	2	2	0.42009795
14	2	3	0.42118374
15	2	4	0.42257878
16	2	5	0.4236159
17	2	6	0.4265722
18	2	7	0.43010664
19	2	8	0.43369839
20	2	9	0.43299475
21	2	10	0.44224435
22	2	11	0.44296736
23	3	1	0.41679811
24	3	2	0.42024493
25	3	3	0.42269987
26	3	4	0.42148772
27	3	5	0.42713657
28	3	6	0.42585552
29	3	7	0.4301416
30	3	8	0.4314394
31	3	9	0.431532
32	3	10	0.43942463
33	3	11	0.4495233
34	4	1	0.42792937
35	4	2	0.42808464
36	4	3	0.42912692
37	4	4	0.43146008
38	4	5	0.43117291
39	4	6	0.43310443
40	4	7	0.42851296
41	4	8	0.43100581
42	4	9	0.43324178
43	4	10	0.44092974
44	4	11	0.44574985
