Point	Row	Column	PeakArea_110
1	1	1	11.384312
2	1	2	11.546515
3	1	3	11.280173
4	1	4	11.061284
5	1	5	11.569958
6	1	6	11.449956
7	1	7	11.793945
8	1	8	11.610158
9	1	9	11.627174
10	1	10	11.30768
11	1	11	11.519161
12	2	1	11.220426
13	2	2	11.405344
14	2	3	10.909329
15	2	4	11.392811
16	2	5	11.041414
17	2	6	10.712471
18	2	7	10.336144
19	2	8	10.25529
20	2	9	10.520872
21	2	10	11.065568
22	2	11	11.246713
23	3	1	10.038558
24	3	2	10.563296
25	3	3	10.397743
26	3	4	10.459632
27	3	5	10.862472
28	3	6	10.842289
29	3	7	11.097447
30	3	8	10.870809
31	3	9	10.958684
32	3	10	12.374247
33	3	11	12.519655
34	4	1	11.485695
35	4	2	11.947029
36	4	3	12.086878
37	4	4	12.123882
38	4	5	12.558326
39	4	6	13.095588
40	4	7	12.717402
41	4	8	12.69093
42	4	9	12.447635
43	4	10	11.941319
44	4	11	12.019821
