Point	Row	Column	_s_Position
1	1	1	0.31220317
2	1	2	0.30396846
3	1	3	0.28816515
4	1	4	0.27745387
5	1	5	0.26791561
6	1	6	0.25567791
7	1	7	0.24285641
8	1	8	0.23396972
9	1	9	0.22510891
10	1	10	0.21241988
11	1	11	0.19600232
12	2	1	0.3280417
13	2	2	0.32193315
14	2	3	0.31009501
15	2	4	0.3004427
16	2	5	0.28790882
17	2	6	0.27826864
18	2	7	0.26622799
19	2	8	0.25687906
20	2	9	0.24805026
21	2	10	0.23629576
22	2	11	0.22123414
23	3	1	0.33893096
24	3	2	0.3330988
25	3	3	0.32345501
26	3	4	0.31280807
27	3	5	0.30702129
28	3	6	0.29786038
29	3	7	0.28939083
30	3	8	0.28031924
31	3	9	0.27254882
32	3	10	0.25883198
33	3	11	0.24413888
34	4	1	0.33912146
35	4	2	0.3333815
36	4	3	0.33287436
37	4	4	0.32394114
38	4	5	0.31597772
39	4	6	0.30638382
40	4	7	0.30211282
41	4	8	0.29913506
42	4	9	0.28891039
43	4	10	0.27969441
44	4	11	0.25911009
