Point	Row	Column	_s_Area
1	1	1	0.35483637
2	1	2	0.34356055
3	1	3	0.34507352
4	1	4	0.33826438
5	1	5	0.33315298
6	1	6	0.32872149
7	1	7	0.32961199
8	1	8	0.32355627
9	1	9	0.32564095
10	1	10	0.32584843
11	1	11	0.33735153
12	2	1	0.34175441
13	2	2	0.33647779
14	2	3	0.33224443
15	2	4	0.32612211
16	2	5	0.32223329
17	2	6	0.31846207
18	2	7	0.31392023
19	2	8	0.31096074
20	2	9	0.31042266
21	2	10	0.31396544
22	2	11	0.32050946
23	3	1	0.32940537
24	3	2	0.32230809
25	3	3	0.31546134
26	3	4	0.30896619
27	3	5	0.30295679
28	3	6	0.29793832
29	3	7	0.29483044
30	3	8	0.29048917
31	3	9	0.28747377
32	3	10	0.29497945
33	3	11	0.2999945
34	4	1	0.31854576
35	4	2	0.31131795
36	4	3	0.29865426
37	4	4	0.29325813
38	4	5	0.28915375
39	4	6	0.28285903
40	4	7	0.27785453
41	4	8	0.2716797
42	4	9	0.2705245
43	4	10	0.27586722
44	4	11	0.28485292
