Point	Row	Column	FWHM_111
1	1	1	0.52584887
2	1	2	0.50079417
3	1	3	0.47316188
4	1	4	0.47155237
5	1	5	0.46115407
6	1	6	0.41391918
7	1	7	0.50690365
8	1	8	0.47088385
9	1	9	0.49565801
10	1	10	0.4923135
11	1	11	0.53469348
12	2	1	0.48027202
13	2	2	0.47017336
14	2	3	0.46074179
15	2	4	0.50561696
16	2	5	0.45647001
17	2	6	0.50619727
18	2	7	0.48561117
19	2	8	0.51601386
20	2	9	0.4698543
21	2	10	0.47496536
22	2	11	0.5098322
23	3	1	0.58679998
24	3	2	0.6074748
25	3	3	0.56260264
26	3	4	0.50963724
27	3	5	0.47516888
28	3	6	0.53467649
29	3	7	0.52667552
30	3	8	0.46710578
31	3	9	0.50539327
32	3	10	0.43750513
33	3	11	0.48955405
34	4	1	0.5583747
35	4	2	0.53727973
36	4	3	0.5215553
37	4	4	0.53836024
38	4	5	0.5346992
39	4	6	0.4863925
40	4	7	0.50475389
41	4	8	0.56976426
42	4	9	0.50854498
43	4	10	0.5568288
44	4	11	0.48459858
