Point	Row	Column	110_s_Position
1	1	1	0.44312418
2	1	2	0.41772631
3	1	3	0.39775264
4	1	4	0.375411
5	1	5	0.35702753
6	1	6	0.33618733
7	1	7	0.32019353
8	1	8	0.30280948
9	1	9	0.29321873
10	1	10	0.27686676
11	1	11	0.26448673
12	2	1	0.44843879
13	2	2	0.4332934
14	2	3	0.41210935
15	2	4	0.39192405
16	2	5	0.37109524
17	2	6	0.35447201
18	2	7	0.33429742
19	2	8	0.3195172
20	2	9	0.3080017
21	2	10	0.29675481
22	2	11	0.28363055
23	3	1	0.4465827
24	3	2	0.42944175
25	3	3	0.4081502
26	3	4	0.38658845
27	3	5	0.37205672
28	3	6	0.35497609
29	3	7	0.3412849
30	3	8	0.32571882
31	3	9	0.31340253
32	3	10	0.30540046
33	3	11	0.2929613
34	4	1	0.43210283
35	4	2	0.41515061
36	4	3	0.39765736
37	4	4	0.3799935
38	4	5	0.36546457
39	4	6	0.3466537
40	4	7	0.33577365
41	4	8	0.32507569
42	4	9	0.31262934
43	4	10	0.30863407
44	4	11	0.29523304
