Point	Row	Column	Zr_at
1	1	1	0.15880576
2	1	2	0.17468362
3	1	3	0.1737847
4	1	4	0.18032311
5	1	5	0.18946119
6	1	6	0.19185646
7	1	7	0.1894224
8	1	8	0.19518806
9	1	9	0.1938937
10	1	10	0.19899391
11	1	11	0.19015007
12	2	1	0.17444623
13	2	2	0.18315318
14	2	3	0.18925184
15	2	4	0.19663854
16	2	5	0.20106028
17	2	6	0.20474389
18	2	7	0.21006025
19	2	8	0.2154943
20	2	9	0.2136399
21	2	10	0.21314406
22	2	11	0.21142544
23	3	1	0.18858445
24	3	2	0.19827117
25	3	3	0.20817043
26	3	4	0.21557853
27	3	5	0.22393917
28	3	6	0.23266296
29	3	7	0.2355877
30	3	8	0.23860277
31	3	9	0.24178968
32	3	10	0.2376644
33	3	11	0.2327527
34	4	1	0.19821219
35	4	2	0.21021569
36	4	3	0.22697529
37	4	4	0.23351015
38	4	5	0.23804294
39	4	6	0.24618156
40	4	7	0.2536751
41	4	8	0.2587288
42	4	9	0.2605423
43	4	10	0.25777867
44	4	11	0.25486246
