Point	Row	Column	Pos_110
1	1	1	30.773659
2	1	2	30.770704
3	1	3	30.76808
4	1	4	30.761972
5	1	5	30.758419
6	1	6	30.748642
7	1	7	30.744972
8	1	8	30.736876
9	1	9	30.731638
10	1	10	30.723732
11	1	11	30.720848
12	2	1	30.794031
13	2	2	30.787945
14	2	3	30.765909
15	2	4	30.759167
16	2	5	30.74378
17	2	6	30.732334
18	2	7	30.711788
19	2	8	30.697762
20	2	9	30.701723
21	2	10	30.701214
22	2	11	30.713858
23	3	1	30.797544
24	3	2	30.778635
25	3	3	30.765633
26	3	4	30.753845
27	3	5	30.747248
28	3	6	30.724178
29	3	7	30.702145
30	3	8	30.691751
31	3	9	30.699043
32	3	10	30.708666
33	3	11	30.718079
34	4	1	30.815474
35	4	2	30.805779
36	4	3	30.794971
37	4	4	30.781105
38	4	5	30.767757
39	4	6	30.74843
40	4	7	30.729822
41	4	8	30.716486
42	4	9	30.696341
43	4	10	30.691244
44	4	11	30.683008
