Point	Row	Column	Co_at
1	1	1	0.22156209
2	1	2	0.20886315
3	1	3	0.19887632
4	1	4	0.1877055
5	1	5	0.17851377
6	1	6	0.16809367
7	1	7	0.16009676
8	1	8	0.15140474
9	1	9	0.14660937
10	1	10	0.13843338
11	1	11	0.13224337
12	2	1	0.2242194
13	2	2	0.2166467
14	2	3	0.20605467
15	2	4	0.19596203
16	2	5	0.18554762
17	2	6	0.17723601
18	2	7	0.16714871
19	2	8	0.1597586
20	2	9	0.15400085
21	2	10	0.1483774
22	2	11	0.14181527
23	3	1	0.22329135
24	3	2	0.21472088
25	3	3	0.2040751
26	3	4	0.19329423
27	3	5	0.18602836
28	3	6	0.17748804
29	3	7	0.17064245
30	3	8	0.16285941
31	3	9	0.15670127
32	3	10	0.15270023
33	3	11	0.14648065
34	4	1	0.21605141
35	4	2	0.20757531
36	4	3	0.19882868
37	4	4	0.18999675
38	4	5	0.18273228
39	4	6	0.17332685
40	4	7	0.16788682
41	4	8	0.16253784
42	4	9	0.15631467
43	4	10	0.15431704
44	4	11	0.14761652
