Point	Row	Column	d_um
1	1	1	0.1146
2	1	2	0.12208
3	1	3	0.12932
4	1	4	0.13463999
5	1	5	0.13705
6	1	6	0.13669001
7	1	7	0.13338
8	1	8	0.1294
9	1	9	0.12007
10	1	10	0.11359
11	1	11	0.10378
12	2	1	0.14235
13	2	2	0.15132999
14	2	3	0.15990999
15	2	4	0.16519
16	2	5	0.16783001
17	2	6	0.16642
18	2	7	0.16272999
19	2	8	0.15424
20	2	9	0.14391001
21	2	10	0.13303
22	2	11	0.12077
23	3	1	0.13953
24	3	2	0.14904
25	3	3	0.15851
26	3	4	0.16294999
27	3	5	0.16626
28	3	6	0.16493
29	3	7	0.15978
30	3	8	0.15256999
31	3	9	0.14237
32	3	10	0.13095
33	3	11	0.11774
34	4	1	0.11334
35	4	2	0.12055
36	4	3	0.12848
37	4	4	0.13303
38	4	5	0.13405
39	4	6	0.13457
40	4	7	0.13270999
41	4	8	0.12624
42	4	9	0.12069
43	4	10	0.11152
44	4	11	0.10302
