Point	Row	Column	110_s_Area
1	1	1	0.26654857
2	1	2	0.26939481
3	1	3	0.2923944
4	1	4	0.30111772
5	1	5	0.30927843
6	1	6	0.32125568
7	1	7	0.33903041
8	1	8	0.34430304
9	1	9	0.35806319
10	1	10	0.37483013
11	1	11	0.41021633
12	2	1	0.23507003
13	2	2	0.23966217
14	2	3	0.25237951
15	2	4	0.26032019
16	2	5	0.27337134
17	2	6	0.28245211
18	2	7	0.29354304
19	2	8	0.30240428
20	2	9	0.31284365
21	2	10	0.33117604
22	2	11	0.35738841
23	3	1	0.21222802
24	3	2	0.21517444
25	3	3	0.22277246
26	3	4	0.23134391
27	3	5	0.23385686
28	3	6	0.24090053
29	3	7	0.24837597
30	3	8	0.25525951
31	3	9	0.261545
32	3	10	0.28455845
33	3	11	0.3070277
34	4	1	0.2049887
35	4	2	0.2074853
36	4	3	0.19965114
37	4	4	0.20652276
38	4	5	0.21284293
39	4	6	0.21906433
40	4	7	0.2199354
41	4	8	0.21828371
42	4	9	0.22841966
43	4	10	0.24310036
44	4	11	0.27447277
