Point	Row	Column	Zr_at
1	1	1	0.072004698
2	1	2	0.072547503
3	1	3	0.075579502
4	1	4	0.07422851
5	1	5	0.0778341
6	1	6	0.082578801
7	1	7	0.081705503
8	1	8	0.084374301
9	1	9	0.083204798
10	1	10	0.085814893
11	1	11	0.0840488
12	2	1	0.073625393
13	2	2	0.07486359
14	2	3	0.077945702
15	2	4	0.079638392
16	2	5	0.083524406
17	2	6	0.086770892
18	2	7	0.088291101
19	2	8	0.085524499
20	2	9	0.091591001
21	2	10	0.090715908
22	2	11	0.09020789
23	3	1	0.073868208
24	3	2	0.075620197
25	3	3	0.077954203
26	3	4	0.079043902
27	3	5	0.081081219
28	3	6	0.084652498
29	3	7	0.085194394
30	3	8	0.086691111
31	3	9	0.091082506
32	3	10	0.088348202
33	3	11	0.089280397
34	4	1	0.067926198
35	4	2	0.070236199
36	4	3	0.073551595
37	4	4	0.074988499
38	4	5	0.075831003
39	4	6	0.076182097
40	4	7	0.076758899
41	4	8	0.079488911
42	4	9	0.084247001
43	4	10	0.082352698
44	4	11	0.082252689
