Point	Row	Column	d_um
1	1	1	0.12728
2	1	2	0.1327
3	1	3	0.13849001
4	1	4	0.14222001
5	1	5	0.14437
6	1	6	0.14500999
7	1	7	0.14203
8	1	8	0.13789999
9	1	9	0.13246
10	1	10	0.12615
11	1	11	0.11845
12	2	1	0.14733
13	2	2	0.15599
14	2	3	0.16469
15	2	4	0.17075001
16	2	5	0.17495
17	2	6	0.17636
18	2	7	0.17504001
19	2	8	0.17053001
20	2	9	0.16493
21	2	10	0.15623
22	2	11	0.14629
23	3	1	0.13754
24	3	2	0.14711
25	3	3	0.15478
26	3	4	0.16215999
27	3	5	0.16715001
28	3	6	0.17003
29	3	7	0.17015
30	3	8	0.1681
31	3	9	0.16265
32	3	10	0.1548
33	3	11	0.14596
34	4	1	0.10595
35	4	2	0.11245
36	4	3	0.11884
37	4	4	0.12474
38	4	5	0.1285
39	4	6	0.13085
40	4	7	0.13243
41	4	8	0.13124999
42	4	9	0.12915
43	4	10	0.12417
44	4	11	0.11947
