Point	Row	Column	FWHM_110
1	1	1	0.44038031
2	1	2	0.52230787
3	1	3	0.56629425
4	1	4	0.59156311
5	1	5	0.63651615
6	1	6	
7	1	7	
8	1	8	
9	1	9	0.55460352
10	1	10	0.5767327
11	1	11	0.49988416
12	2	1	0.44418472
13	2	2	0.51291108
14	2	3	0.56897151
15	2	4	0.63846266
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	0.65163797
22	2	11	0.53381318
23	3	1	0.48381531
24	3	2	0.54082513
25	3	3	0.55818975
26	3	4	0.57641244
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	0.52692395
34	4	1	0.41126919
35	4	2	0.48151848
36	4	3	0.5523659
37	4	4	0.58158088
38	4	5	0.57245475
39	4	6	0.61589813
40	4	7	0.61683029
41	4	8	0.56785178
42	4	9	0.54329544
43	4	10	0.56841093
44	4	11	0.57032496
