Point	Row	Column	Pos_111
1	1	1	38.112465
2	1	2	38.187347
3	1	3	38.20536
4	1	4	38.106468
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	38.071384
10	1	10	38.132648
11	1	11	38.0756
12	2	1	38.13092
13	2	2	38.201435
14	2	3	38.199326
15	2	4	38.090633
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	38.039074
23	3	1	38.187809
24	3	2	38.220928
25	3	3	38.197342
26	3	4	38.113285
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	38.089058
34	4	1	38.047966
35	4	2	38.177628
36	4	3	38.224941
37	4	4	38.227692
38	4	5	38.173279
39	4	6	38.129292
40	4	7	
41	4	8	
42	4	9	38.113018
43	4	10	38.132812
44	4	11	38.119289
