Point	Row	Column	a_Ang
1	1	1	4.0886245
2	1	2	4.0773487
3	1	3	4.0738168
4	1	4	4.0854545
5	1	5	4.0946937
6	1	6	
7	1	7	
8	1	8	
9	1	9	4.092021
10	1	10	4.0846057
11	1	11	4.0931263
12	2	1	4.086565
13	2	2	4.0764461
14	2	3	4.075213
15	2	4	4.0902534
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	4.1008329
22	2	11	4.094564
23	3	1	4.0776253
24	3	2	4.0719357
25	3	3	4.0753942
26	3	4	4.0891819
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	4.0988326
34	4	1	4.093925
35	4	2	4.0788193
36	4	3	4.0726004
37	4	4	4.0724111
38	4	5	4.0774355
39	4	6	4.0822592
40	4	7	4.086637
41	4	8	4.088171
42	4	9	4.0890875
43	4	10	4.0828633
44	4	11	4.0851126
