Point	Row	Column	Co_at
1	1	1	0.3187387
2	1	2	0.31416571
3	1	3	0.30467951
4	1	4	0.29531914
5	1	5	0.28635919
6	1	6	0.27596289
7	1	7	0.26637909
8	1	8	0.25798461
9	1	9	0.2497353
10	1	10	0.24222907
11	1	11	0.2345922
12	2	1	0.32080877
13	2	2	0.31398597
14	2	3	0.3026154
15	2	4	0.29226637
16	2	5	0.28320384
17	2	6	0.27246848
18	2	7	0.26086599
19	2	8	0.25215241
20	2	9	0.24300089
21	2	10	0.23542343
22	2	11	0.22545098
23	3	1	0.31755012
24	3	2	0.3098596
25	3	3	0.3015559
26	3	4	0.2927233
27	3	5	0.28105685
28	3	6	0.27241379
29	3	7	0.25994408
30	3	8	0.25129983
31	3	9	0.24138743
32	3	10	0.2350063
33	3	11	0.2270429
34	4	1	0.32037649
35	4	2	0.31079471
36	4	3	0.30438307
37	4	4	0.29396909
38	4	5	0.284603
39	4	6	0.27629441
40	4	7	0.26576
41	4	8	0.25895384
42	4	9	0.2483528
43	4	10	0.241795
44	4	11	0.23154607
