Point	Row	Column	MaxInt_110
1	1	1	5028.9097
2	1	2	5104.0259
3	1	3	5149.1689
4	1	4	5494.6431
5	1	5	6051.6763
6	1	6	5501.7173
7	1	7	5641.689
8	1	8	5672.354
9	1	9	5384.7515
10	1	10	5116.6875
11	1	11	4707.022
12	2	1	5795.6797
13	2	2	6014.436
14	2	3	6342.2935
15	2	4	6171.1206
16	2	5	6342.6567
17	2	6	6383.186
18	2	7	6203.0039
19	2	8	5907.0972
20	2	9	5716.2407
21	2	10	5886.2056
22	2	11	5402.7344
23	3	1	5695.4355
24	3	2	6203.0435
25	3	3	5831.9199
26	3	4	5751.6377
27	3	5	5523.5142
28	3	6	5307.125
29	3	7	5359.4004
30	3	8	5337.3013
31	3	9	5394.354
32	3	10	5699.2466
33	3	11	4999.8062
34	4	1	4298.4805
35	4	2	4525.4062
36	4	3	4876.897
37	4	4	4882.3198
38	4	5	4913.2515
39	4	6	5051.0962
40	4	7	4899.1919
41	4	8	4906.3208
42	4	9	4721.2451
43	4	10	4413.7217
44	4	11	4234.8882
