Point	Row	Column	Pos_110
1	1	1	30.66769
2	1	2	30.662188
3	1	3	30.656809
4	1	4	30.636797
5	1	5	30.676865
6	1	6	30.747515
7	1	7	30.752338
8	1	8	30.707832
9	1	9	30.714529
10	1	10	30.708052
11	1	11	30.708784
12	2	1	30.664051
13	2	2	30.618668
14	2	3	30.60968
15	2	4	30.607336
16	2	5	30.597086
17	2	6	30.581791
18	2	7	30.576778
19	2	8	30.578375
20	2	9	30.593609
21	2	10	30.636002
22	2	11	30.646271
23	3	1	30.603695
24	3	2	30.592579
25	3	3	30.558203
26	3	4	30.580793
27	3	5	30.589066
28	3	6	30.588583
29	3	7	30.575499
30	3	8	30.540661
31	3	9	30.519375
32	3	10	30.547985
33	3	11	30.526806
34	4	1	30.548752
35	4	2	30.524813
36	4	3	30.503252
37	4	4	30.494566
38	4	5	30.49015
39	4	6	30.483929
40	4	7	30.479465
41	4	8	30.471874
42	4	9	30.465248
43	4	10	30.472336
44	4	11	30.471052
