Point	Row	Column	a_Ang
1	1	1	4.1178832
2	1	2	4.1186042
3	1	3	4.1193099
4	1	4	4.1219358
5	1	5	4.1166811
6	1	6	4.1074491
7	1	7	4.1068206
8	1	8	4.1126294
9	1	9	4.1117544
10	1	10	4.1126008
11	1	11	4.112505
12	2	1	4.11836
13	2	2	4.1243181
14	2	3	4.1255002
15	2	4	4.1258087
16	2	5	4.1271577
17	2	6	4.1291723
18	2	7	4.1298332
19	2	8	4.1296225
20	2	9	4.1276155
21	2	10	4.1220403
22	2	11	4.1206923
23	3	1	4.1262879
24	3	2	4.1277514
25	3	3	4.1322837
26	3	4	4.1293039
27	3	5	4.1282139
28	3	6	4.1282778
29	3	7	4.130002
30	3	8	4.1346006
31	3	9	4.1374159
32	3	10	4.1336331
33	3	11	4.1364326
34	4	1	4.133532
35	4	2	4.1366963
36	4	3	4.1395512
37	4	4	4.1407018
38	4	5	4.1412873
39	4	6	4.1421127
40	4	7	4.142705
41	4	8	4.1437125
42	4	9	4.1445923
43	4	10	4.143651
44	4	11	4.1438217
