Point	Row	Column	MaxInt_111
1	1	1	1488.3486
2	1	2	1588.9165
3	1	3	1534.8859
4	1	4	1586.7101
5	1	5	2006.0747
6	1	6	1727.4775
7	1	7	1812.2111
8	1	8	1830.9989
9	1	9	1648.3158
10	1	10	1461.2159
11	1	11	1261.0728
12	2	1	1908.3953
13	2	2	2024.6803
14	2	3	2072.9778
15	2	4	2116.063
16	2	5	2013.921
17	2	6	2017.131
18	2	7	2040.2972
19	2	8	1987.5013
20	2	9	1820.8137
21	2	10	1704.7726
22	2	11	1535.8616
23	3	1	1764.4222
24	3	2	1963.9049
25	3	3	1852.6464
26	3	4	1597.8322
27	3	5	1503.634
28	3	6	1598.5844
29	3	7	1497.9302
30	3	8	1513.4332
31	3	9	1572.9902
32	3	10	1588.6869
33	3	11	1288.8114
34	4	1	1147.5498
35	4	2	1215.7921
36	4	3	1308.22
37	4	4	1362.6111
38	4	5	1314.3202
39	4	6	1391.0812
40	4	7	1381.8596
41	4	8	1271.7089
42	4	9	1177.9305
43	4	10	1079.6654
44	4	11	989.98999
