Point	Row	Column	_s_FWHM
1	1	1	0.205051
2	1	2	0.2075692
3	1	3	0.2126732
4	1	4	0.2237038
5	1	5	0.2252228
6	1	6	0.2364298
7	1	7	0.23417543
8	1	8	0.25954857
9	1	9	0.26802221
10	1	10	0.24817123
11	1	11	0.2456148
12	2	1	0.22779977
13	2	2	0.22995843
14	2	3	0.2440016
15	2	4	0.24992903
16	2	5	0.25649461
17	2	6	0.27223539
18	2	7	0.26439437
19	2	8	0.27331799
20	2	9	0.28035679
21	2	10	0.27492502
22	2	11	0.27041256
23	3	1	0.24207421
24	3	2	0.24975337
25	3	3	0.26122338
26	3	4	0.27640042
27	3	5	0.2861864
28	3	6	0.29526219
29	3	7	0.30652755
30	3	8	0.3002528
31	3	9	0.31588984
32	3	10	0.31991541
33	3	11	0.30108079
34	4	1	0.26027822
35	4	2	0.2706472
36	4	3	0.28581879
37	4	4	0.29677743
38	4	5	0.30761179
39	4	6	0.31674221
40	4	7	0.32566604
41	4	8	0.33370599
42	4	9	0.3363958
43	4	10	0.33630699
44	4	11	0.3346678
