Point	Row	Column	110_s_Area
1	1	1	0.2944876
2	1	2	0.31020421
3	1	3	0.32207841
4	1	4	0.342168
5	1	5	0.35493821
6	1	6	0.36857939
7	1	7	0.38816565
8	1	8	0.38435715
9	1	9	0.40157959
10	1	10	0.43267363
11	1	11	0.46721381
12	2	1	0.26841336
13	2	2	0.28706583
14	2	3	0.29254141
15	2	4	0.30383503
16	2	5	0.31725261
17	2	6	0.32976481
18	2	7	0.34544978
19	2	8	0.35582039
20	2	9	0.36749339
21	2	10	0.39078125
22	2	11	0.41992354
23	3	1	0.25591159
24	3	2	0.26180276
25	3	3	0.27112037
26	3	4	0.27698484
27	3	5	0.28483841
28	3	6	0.29929239
29	3	7	0.29177317
30	3	8	0.31835699
31	3	9	0.32457143
32	3	10	0.339093
33	3	11	0.3783944
34	4	1	0.24691862
35	4	2	0.2497682
36	4	3	0.24526259
37	4	4	0.25742441
38	4	5	0.26442161
39	4	6	0.26853919
40	4	7	0.27962083
41	4	8	0.27979499
42	4	9	0.28835461
43	4	10	0.30450961
44	4	11	0.34216419
