Point	Row	Column	Y_at
1	1	1	0.019096499
2	1	2	0.019123301
3	1	3	0.0233132
4	1	4	0.0216325
5	1	5	0.024682
6	1	6	0.025628
7	1	7	0.024002802
8	1	8	0.035613596
9	1	9	0.043840401
10	1	10	0.026444502
11	1	11	0.0260989
12	2	1	0.022658698
13	2	2	0.024499903
14	2	3	0.0244784
15	2	4	0.026809903
16	2	5	0.029695099
17	2	6	0.032691602
18	2	7	0.035580996
19	2	8	0.034312401
20	2	9	0.036214601
21	2	10	0.037811305
22	2	11	0.039095197
23	3	1	0.026452901
24	3	2	0.030638397
25	3	3	0.032855798
26	3	4	0.036211103
27	3	5	0.039340202
28	3	6	0.039653901
29	3	7	0.065421097
30	3	8	0.041179799
31	3	9	0.043644406
32	3	10	0.0471562
33	3	11	0.043900602
34	4	1	0.029682003
35	4	2	0.0375387
36	4	3	0.0437738
37	4	4	0.043388203
38	4	5	0.048186898
39	4	6	0.048266999
40	4	7	0.049772106
41	4	8	0.053141899
42	4	9	0.0554257
43	4	10	0.054714799
44	4	11	0.049634501
