Point	Row	Column	110_s_MaxIntensity
1	1	1	0.7487722
2	1	2	0.79029095
3	1	3	0.82329249
4	1	4	0.84628576
5	1	5	0.85825497
6	1	6	0.8587454
7	1	7	0.84789073
8	1	8	0.8263824
9	1	9	0.7953878
10	1	10	0.75643444
11	1	11	0.71127248
12	2	1	0.86208653
13	2	2	0.91165638
14	2	3	0.95089668
15	2	4	0.97795886
16	2	5	0.99160719
17	2	6	0.9913258
18	2	7	0.97734511
19	2	8	0.95059264
20	2	9	0.91257882
21	2	10	0.86524183
22	2	11	0.81077009
23	3	1	0.86636388
24	3	2	0.91688627
25	3	3	0.9571014
26	3	4	0.98510516
27	3	5	0.99959809
28	3	6	1
29	3	7	0.98648459
30	3	8	0.95993912
31	3	9	0.92185688
32	3	10	0.87418455
33	3	11	0.81914312
34	4	1	0.75876325
35	4	2	0.80252749
36	4	3	0.83783484
37	4	4	0.86301887
38	4	5	0.87696338
39	4	6	0.87905109
40	4	7	0.86928666
41	4	8	0.84827012
42	4	9	0.81712967
43	4	10	0.77741116
44	4	11	0.73093802
