Point	Row	Column	Fe_at
1	1	1	0.1472438
2	1	2	0.1551021
3	1	3	0.1610392
4	1	4	0.171084
5	1	5	0.1774691
6	1	6	0.18428969
7	1	7	0.19408283
8	1	8	0.19217858
9	1	9	0.20078979
10	1	10	0.21633682
11	1	11	0.2336069
12	2	1	0.13420668
13	2	2	0.14353292
14	2	3	0.14627071
15	2	4	0.15191752
16	2	5	0.1586263
17	2	6	0.16488241
18	2	7	0.17272489
19	2	8	0.17791019
20	2	9	0.1837467
21	2	10	0.19539063
22	2	11	0.20996177
23	3	1	0.12795579
24	3	2	0.13090138
25	3	3	0.13556018
26	3	4	0.13849242
27	3	5	0.1424192
28	3	6	0.14964619
29	3	7	0.14588659
30	3	8	0.1591785
31	3	9	0.16228572
32	3	10	0.1695465
33	3	11	0.1891972
34	4	1	0.12345931
35	4	2	0.1248841
36	4	3	0.1226313
37	4	4	0.12871221
38	4	5	0.13221081
39	4	6	0.1342696
40	4	7	0.13981041
41	4	8	0.1398975
42	4	9	0.1441773
43	4	10	0.1522548
44	4	11	0.17108209
