Point	Row	Column	110_s_Position
1	1	1	0.4717356
2	1	2	0.45263639
3	1	3	0.42901781
4	1	4	0.4033336
5	1	5	0.38189039
6	1	6	0.3556394
7	1	7	0.34005302
8	1	8	0.31593117
9	1	9	0.29609799
10	1	10	0.28563803
11	1	11	0.26970199
12	2	1	0.47131035
13	2	2	0.45537525
14	2	3	0.43622699
15	2	4	0.41112724
16	2	5	0.3920922
17	2	6	0.3648006
18	2	7	0.34245038
19	2	8	0.325701
20	2	9	0.30688179
21	2	10	0.29246902
22	2	11	0.27602878
23	3	1	0.45963401
24	3	2	0.44428456
25	3	3	0.42174935
26	3	4	0.39970005
27	3	5	0.381291
28	3	6	0.35570741
29	3	7	0.33551118
30	3	8	0.32957181
31	3	9	0.31409544
32	3	10	0.2955184
33	3	11	0.28397539
34	4	1	0.43464485
35	4	2	0.41993281
36	4	3	0.4053624
37	4	4	0.38104883
38	4	5	0.3592914
39	4	6	0.34103301
40	4	7	0.32712904
41	4	8	0.3139914
42	4	9	0.30163819
43	4	10	0.2905342
44	4	11	0.27809981
