Point	Row	Column	_s_Position
1	1	1	0.3078317
2	1	2	0.29667825
3	1	3	0.28559443
4	1	4	0.27051157
5	1	5	0.25914466
6	1	6	0.24553312
7	1	7	0.23348278
8	1	8	0.22557221
9	1	9	0.21220259
10	1	10	0.19882597
11	1	11	0.18299377
12	2	1	0.31857187
13	2	2	0.30667433
14	2	3	0.29929057
15	2	4	0.28751674
16	2	5	0.27637631
17	2	6	0.2626107
18	2	7	0.24890995
19	2	8	0.23895141
20	2	9	0.22753046
21	2	10	0.21402775
22	2	11	0.19831011
23	3	1	0.3211773
24	3	2	0.31461021
25	3	3	0.30434969
26	3	4	0.2953369
27	3	5	0.28619888
28	3	6	0.27153245
29	3	7	0.2674315
30	3	8	0.25432718
31	3	9	0.24589927
32	3	10	0.23283415
33	3	11	0.21436319
34	4	1	0.31885868
35	4	2	0.31352261
36	4	3	0.31151769
37	4	4	0.29840627
38	4	5	0.28802621
39	4	6	0.27973142
40	4	7	0.26957488
41	4	8	0.26439759
42	4	9	0.25562871
43	4	10	0.24412842
44	4	11	0.22417858
