Point	Row	Column	Norm_d
1	1	1	0.093600348
2	1	2	0.18915978
3	1	3	0.29494995
4	1	4	0.34784502
5	1	5	0.38767958
6	1	6	0.38898563
7	1	7	0.35023946
8	1	8	0.28929037
9	1	9	0.21484545
10	1	10	0.11645625
11	1	11	0.010448411
12	2	1	0.46103615
13	2	2	0.62559861
14	2	3	0.78188944
15	2	4	0.8874619
16	2	5	0.95363516
17	2	6	0.95864171
18	2	7	0.94732261
19	2	8	0.86047018
20	2	9	0.74379623
21	2	10	0.6079669
22	2	11	0.45407054
23	3	1	0.41575968
24	3	2	0.58881152
25	3	3	0.7363953
26	3	4	0.8648237
27	3	5	0.96212453
28	3	6	1
29	3	7	0.98454505
30	3	8	0.94754028
31	3	9	0.83652592
32	3	10	0.70483238
33	3	11	0.54962993
34	4	1	0
35	4	2	0.10100131
36	4	3	0.2178929
37	4	4	0.31432304
38	4	5	0.40596431
39	4	6	0.44819328
40	4	7	0.45602959
41	4	8	0.43948629
42	4	9	0.40291685
43	4	10	0.31519374
44	4	11	0.21223335
