Point	Row	Column	Co_at
1	1	1	0.0068366453
2	1	2	0.0057369904
3	1	3	0.0072161965
4	1	4	0.0088035418
5	1	5	0.0068266164
6	1	6	0.0078243092
7	1	7	0.0079954211
8	1	8	0.0074226623
9	1	9	0.010648239
10	1	10	0.0095575685
11	1	11	0.0082008084
12	2	1	0.0066577732
13	2	2	0.0067991945
14	2	3	0.0058765402
15	2	4	0.0070644235
16	2	5	0.0068373717
17	2	6	0.0061224746
18	2	7	0.0084032035
19	2	8	0.0085106902
20	2	9	0.008499085
21	2	10	0.010781421
22	2	11	0.010969235
23	3	1	0.0053832792
24	3	2	0.0064953165
25	3	3	0.0075500458
26	3	4	0.0072870879
27	3	5	0.007546098
28	3	6	0.0094165197
29	3	7	0.0079437625
30	3	8	0.010238399
31	3	9	0.0095355343
32	3	10	0.0091696754
33	3	11	0.010869766
34	4	1	0.0056005577
35	4	2	0.0072197518
36	4	3	0.0066380831
37	4	4	0.0076142703
38	4	5	0.0078961495
39	4	6	0.010052293
40	4	7	0.0093276054
41	4	8	0.010689645
42	4	9	0.010555462
43	4	10	0.011283633
44	4	11	0.011455161
