Point	Row	Column	a_Ang
1	1	1	4.1256323
2	1	2	4.1302567
3	1	3	4.1356945
4	1	4	4.1398215
5	1	5	4.1420856
6	1	6	4.1434264
7	1	7	4.1433816
8	1	8	4.1425352
9	1	9	4.1378393
10	1	10	4.1309237
11	1	11	4.1230721
12	2	1	4.1291432
13	2	2	4.1375465
14	2	3	4.1432829
15	2	4	4.1474466
16	2	5	4.1507082
17	2	6	4.1521544
18	2	7	4.1534276
19	2	8	4.1531653
20	2	9	4.1521401
21	2	10	4.150805
22	2	11	4.1485753
23	3	1	4.143034
24	3	2	4.1481867
25	3	3	4.1535125
26	3	4	4.1563869
27	3	5	4.1590333
28	3	6	4.1603293
29	3	7	4.1607594
30	3	8	4.1599083
31	3	9	4.1596479
32	3	10	4.1589212
33	3	11	4.1591163
34	4	1	4.1454387
35	4	2	4.1534133
36	4	3	4.158268
37	4	4	4.1593738
38	4	5	4.1576738
39	4	6	4.155159
40	4	7	4.1525726
41	4	8	4.1518617
42	4	9	4.1502728
43	4	10	4.1466866
44	4	11	4.1465135
