Point	Row	Column	_s_Position
1	1	1	0.20791887
2	1	2	0.18635671
3	1	3	0.16155377
4	1	4	0.14111799
5	1	5	0.12575172
6	1	6	0.11611736
7	1	7	0.11119466
8	1	8	0.11323679
9	1	9	0.11633007
10	1	10	0.11920954
11	1	11	0.12465779
12	2	1	0.22060743
13	2	2	0.20063137
14	2	3	0.1807923
15	2	4	0.16534477
16	2	5	0.1518531
17	2	6	0.14341457
18	2	7	0.14120983
19	2	8	0.14534807
20	2	9	0.14950295
21	2	10	0.15845637
22	2	11	0.16294318
23	3	1	0.23189104
24	3	2	0.21579204
25	3	3	0.19910865
26	3	4	0.18509148
27	3	5	0.17783654
28	3	6	0.17055507
29	3	7	0.17094375
30	3	8	0.1727972
31	3	9	0.17418888
32	3	10	0.17868398
33	3	11	0.18498942
34	4	1	0.2313727
35	4	2	0.22091027
36	4	3	0.21334238
37	4	4	0.2091918
38	4	5	0.2041782
39	4	6	0.20206782
40	4	7	0.20208579
41	4	8	0.20783511
42	4	9	0.20798579
43	4	10	0.20982215
44	4	11	0.20783432
