Point	Row	Column	Fe_at
1	1	1	0.1689274
2	1	2	0.1793381
3	1	3	0.1905057
4	1	4	0.2002759
5	1	5	0.20718279
6	1	6	0.21117096
7	1	7	0.21095377
8	1	8	0.20122401
9	1	9	0.19326918
10	1	10	0.1815452
11	1	11	0.17112941
12	2	1	0.1485713
13	2	2	0.1544617
14	2	3	0.1618519
15	2	4	0.16882639
16	2	5	0.17420471
17	2	6	0.1749319
18	2	7	0.1710474
19	2	8	0.1629371
20	2	9	0.15353461
21	2	10	0.14174581
22	2	11	0.1332213
23	3	1	0.12794679
24	3	2	0.1316632
25	3	3	0.13659978
26	3	4	0.1398578
27	3	5	0.141317
28	3	6	0.1407591
29	3	7	0.13537669
30	3	8	0.1277848
31	3	9	0.12258929
32	3	10	0.1163876
33	3	11	0.11032589
34	4	1	0.11684669
35	4	2	0.1188958
36	4	3	0.11921539
37	4	4	0.1186904
38	4	5	0.1197715
39	4	6	0.1179753
40	4	7	0.1154442
41	4	8	0.10937451
42	4	9	0.10726261
43	4	10	0.10606721
44	4	11	0.10570349
