Point	Row	Column	Pos_110
1	1	1	30.608677
2	1	2	30.573566
3	1	3	30.532387
4	1	4	30.501211
5	1	5	30.484133
6	1	6	30.474028
7	1	7	30.474367
8	1	8	30.480745
9	1	9	30.516176
10	1	10	30.568508
11	1	11	30.628147
12	2	1	30.582012
13	2	2	30.518389
14	2	3	30.475111
15	2	4	30.443775
16	2	5	30.419273
17	2	6	30.408422
18	2	7	30.398876
19	2	8	30.400843
20	2	9	30.408527
21	2	10	30.418547
22	2	11	30.435291
23	3	1	30.476986
24	3	2	30.43821
25	3	3	30.398241
26	3	4	30.376713
27	3	5	30.356915
28	3	6	30.347231
29	3	7	30.344017
30	3	8	30.350378
31	3	9	30.352322
32	3	10	30.357754
33	3	11	30.356297
34	4	1	30.458878
35	4	2	30.398985
36	4	3	30.362638
37	4	4	30.354372
38	4	5	30.367081
39	4	6	30.385904
40	4	7	30.405287
41	4	8	30.410618
42	4	9	30.422543
43	4	10	30.449492
44	4	11	30.45079
