Point	Row	Column	Ratio_200_110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	0.067212403
9	1	9	0.068670198
10	1	10	
11	1	11	
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	0.056968626
19	2	8	0.072773613
20	2	9	0.076727077
21	2	10	0.057524852
22	2	11	
23	3	1	0.069418184
24	3	2	0.058442742
25	3	3	0.078466803
26	3	4	0.066855617
27	3	5	0.078586809
28	3	6	0.087620169
29	3	7	0.093009323
30	3	8	0.10239587
31	3	9	0.08469452
32	3	10	0.083669111
33	3	11	0.12355985
34	4	1	0.20642506
35	4	2	
36	4	3	
37	4	4	0.18886474
38	4	5	0.21730572
39	4	6	0.2083896
40	4	7	0.18684982
41	4	8	0.13335627
42	4	9	0.07685484
43	4	10	
44	4	11	0.077797912
