Point	Row	Column	d_um
1	1	1	0.10568
2	1	2	0.12231
3	1	3	0.13785
4	1	4	0.15103
5	1	5	0.15938
6	1	6	0.16119
7	1	7	0.15625
8	1	8	0.14697
9	1	9	0.13343
10	1	10	0.11979
11	1	11	0.10582
12	2	1	0.13121
13	2	2	0.15087999
14	2	3	0.16978
15	2	4	0.18218
16	2	5	0.18959001
17	2	6	0.18923
18	2	7	0.18266
19	2	8	0.1707
20	2	9	0.15739
21	2	10	0.14308999
22	2	11	0.12665001
23	3	1	0.13253
24	3	2	0.1499
25	3	3	0.16369
26	3	4	0.17251
27	3	5	0.1769
28	3	6	0.17685001
29	3	7	0.17133
30	3	8	0.16414
31	3	9	0.15261
32	3	10	0.13942
33	3	11	0.12303
34	4	1	0.10453
35	4	2	0.11519
36	4	3	0.12279
37	4	4	0.12876
38	4	5	0.13127001
39	4	6	0.13079999
40	4	7	0.12833001
41	4	8	0.1233
42	4	9	0.1168
43	4	10	0.10599
44	4	11	0.094329998
