Point	Row	Column	Co_at
1	1	1	0.1202515
2	1	2	0.1065569
3	1	3	0.090935901
4	1	4	0.078751601
5	1	5	0.069615804
6	1	6	0.063875288
7	1	7	0.060330793
8	1	8	0.058914505
9	1	9	0.058599893
10	1	10	0.056834199
11	1	11	0.0568351
12	2	1	0.1173114
13	2	2	0.1035174
14	2	3	0.091669403
15	2	4	0.083412893
16	2	5	0.0759838
17	2	6	0.070355602
18	2	7	0.067319497
19	2	8	0.066776998
20	2	9	0.065489501
21	2	10	0.065761797
22	2	11	0.064403102
23	3	1	0.11066289
24	3	2	0.099968597
25	3	3	0.09039209
26	3	4	0.082203202
27	3	5	0.078008004
28	3	6	0.072871603
29	3	7	0.070327796
30	3	8	0.067483701
31	3	9	0.06554009
32	3	10	0.064723201
33	3	11	0.064788692
34	4	1	0.10064179
35	4	2	0.094110601
36	4	3	0.088724993
37	4	4	0.085379504
38	4	5	0.082667097
39	4	6	0.080014899
40	4	7	0.078309901
41	4	8	0.077804908
42	4	9	0.076397307
43	4	10	0.076695211
44	4	11	0.075192995
