Point	Row	Column	Zr_at
1	1	1	0.2215566
2	1	2	0.2316124
3	1	3	0.2378792
4	1	4	0.2413118
5	1	5	0.2439588
6	1	6	0.24600706
7	1	7	0.25024328
8	1	8	0.25859094
9	1	9	0.26601917
10	1	10	0.2751376
11	1	11	0.2793811
12	2	1	0.24578311
13	2	2	0.2610172
14	2	3	0.27035731
15	2	4	0.27557108
16	2	5	0.27502701
17	2	6	0.27985299
18	2	7	0.28366739
19	2	8	0.29203209
20	2	9	0.30052039
21	2	10	0.30861229
22	2	11	0.30705509
23	3	1	0.27971277
24	3	2	0.29527459
25	3	3	0.30054316
26	3	4	0.30595529
27	3	5	0.3085717
28	3	6	0.30820811
29	3	7	0.31643108
30	3	8	0.3275198
31	3	9	0.32917845
32	3	10	0.32437459
33	3	11	0.31898007
34	4	1	0.31114307
35	4	2	0.32136041
36	4	3	0.32777256
37	4	4	0.3273249
38	4	5	0.32746899
39	4	6	0.33041701
40	4	7	0.33008841
41	4	8	0.33511254
42	4	9	0.33094013
43	4	10	0.31779623
44	4	11	0.30758837
