Point	Row	Column	_s_Sigma
1	1	1	0.071186602
2	1	2	0.067956999
3	1	3	0.071235403
4	1	4	0.070518598
5	1	5	0.071794398
6	1	6	0.075963788
7	1	7	0.080709189
8	1	8	0.086197406
9	1	9	0.093564592
10	1	10	0.103432
11	1	11	0.1109952
12	2	1	0.061333202
13	2	2	0.064055003
14	2	3	0.067007199
15	2	4	0.068748191
16	2	5	0.074183397
17	2	6	0.079321802
18	2	7	0.0899662
19	2	8	0.099692203
20	2	9	0.1132048
21	2	10	0.1183022
22	2	11	0.1323594
23	3	1	0.048553195
24	3	2	0.0529938
25	3	3	0.059587795
26	3	4	0.066419199
27	3	5	0.071780004
28	3	6	0.084758803
29	3	7	0.093979992
30	3	8	0.1044064
31	3	9	0.11383999
32	3	10	0.13113201
33	3	11	0.14063458
34	4	1	0.039327394
35	4	2	0.039051
36	4	3	0.044381596
37	4	4	0.048292398
38	4	5	0.050335601
39	4	6	0.056501999
40	4	7	0.0628874
41	4	8	0.070764609
42	4	9	0.085328005
43	4	10	0.094716206
44	4	11	0.10870299
